toto,1.6873300009190784e-66
RC,1.6873300009190784e-66
lee,1.6873300009190784e-66
whatapp,1.6873300009190784e-66
sadden,1.6873300009190784e-66
kumar,1.6873300009190784e-66
deepli,1.6873300009190784e-66
jui p,1.6873300009190784e-66
ben beth,1.6873300009190784e-66
uncle hoon',1.6873300009190784e-66
IO,1.6873300009190784e-66
cctv,1.6873300009190784e-66
uncle hoon,1.6873300009190784e-66
god,1.6873300009190784e-66
cai,1.6873300009190784e-66
pm lee & family & singapor,1.6873300009190784e-66
problem,1.6873300009190784e-66
muslim,1.6873300009190784e-66
hdb,1.6873300009190784e-66
build,1.6873300009190784e-66
taxi,1.6873300009190784e-66
mrt,1.6873300009190784e-66
hs lee,1.6873300009190784e-66
blessed lunar,1.6873300009190784e-66
istana,9.335002482515214e-41
CJ,1.7313047344338095e-40
cj yong',1.7313047344338095e-40
lee hl,2.025776273992675e-40
pm lee sir,1.3296047442579612e-26
prime,3.777938741660712e-26
nhc,3.777938741660712e-26
sgh,3.777938741660712e-26
cni,4.1033333521951864e-26
ban smok,0.0001790453893895256
sympathi,0.0001790453893895256
suffer,0.0001790453893895256
lung failure/,0.0001790453893895256
time,0.0001790453893895256
appreciated m,0.0001790453893895256
funan sg,0.02614521837974373
yeah funan,0.02614521837974373
SG,0.027759387203952088
titan,0.029088438651768363
malaysian,0.056854643302580325
hardest way and pain,0.056854643302580325
hong kong,0.09286623043055935
rip,0.10382908385938991
pm lee wish,0.10382908385938991
mrs lee,0.1136114097935406
wuhan,0.12062561763451143
reason,0.1263703062026621
cj of singapor,0.1277231106706549
yong,0.1277231106706549
pm lee,0.1277231106706549
switzerland,0.1277231106706549
shenzhen,0.15545170972003605
mr lee,0.15548931532146687
hubei,0.17909265824297177
prc,0.19669531428994927
chines,0.24196050337376113
ica,0.24196050337376113
singaporean,0.2470561188320182
china,0.4964070694545655
singapor,0.5550078968838105
